ID,Sales
2023-01-05_0,0.024323771025210758
2023-01-05_1,0.030582247581694647
2023-01-05_2,0.027177289345243164
2023-01-06_0,0.030985720452941744
2023-01-06_1,0.0320245650881537
2023-01-06_2,0.03330804833253126
2023-01-07_0,0.03307858730374466
2023-01-07_1,0.0449705569076561
2023-01-07_2,0.033244948352321155
2023-01-08_0,0.005554993209079411
2023-01-08_1,0.010538217226355643
2023-01-08_2,0.023914851351187823
2023-01-09_0,0.016560662076598558
2023-01-09_1,0.020898147592541782
2023-01-09_2,0.030699176668045405
2023-01-10_0,0.009589644000891955
2023-01-10_1,0.011865812632874452
2023-01-10_2,0.027502119474168123
2023-01-11_0,0.009053299723584436
2023-01-11_1,0.009332845261946117
2023-01-11_2,0.024460555617258416
2023-01-12_0,0.008540013473132184
2023-01-12_1,0.008669739799195447
2023-01-12_2,0.029170606741736885
2023-01-13_0,0.033394866481783636
2023-01-13_1,0.031245468860335666
2023-01-13_2,0.03809313994449982
2023-01-14_0,0.03368385280404706
2023-01-14_1,0.04658452171348746
2023-01-14_2,0.036128295835337935
2023-01-15_0,0.005217169056093607
2023-01-15_1,0.009422667346861665
2023-01-15_2,0.02615816918379453
2023-01-16_0,0.016282769928661563
2023-01-16_1,0.020719041190514206
2023-01-16_2,0.022222950620784467
2023-01-17_0,0.009925370963452695
2023-01-17_1,0.013623613179525944
2023-01-17_2,0.02203416607462385
2023-01-18_0,0.009668102192602947
2023-01-18_1,0.010789899808797899
2023-01-18_2,0.02335463111331026
2023-01-19_0,0.009945983041407962
2023-01-19_1,0.009696126692819822
2023-01-19_2,0.024871135235345856
